name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18abvvmdf,58371.519,ZTF18abvvmdf_VLASS2.1,59093.0,VLASS2.1,0.415,0.143,721.4809999999998,SN II,0.02959,upper_limit,8.922806985974338e+27,5.626264533622996e+27,1.976660273972602
ZTF18abvxoty,58374.709,ZTF18abvxoty_VLASS2.1,59047.0,VLASS2.1,0.417,0.179,672.2909999999974,SN II,0.089,upper_limit,8.81735569159358e+28,5.309935588188916e+27,1.8418931506849245
ZTF18abvxoty,58374.709,ZTF18abvxoty_VLASS3.1,59979.0,VLASS3.1,0.504,0.15,1604.2909999999974,SN II,0.089,upper_limit,1.06569478862426e+29,1.1209320052566024e+28,4.395317808219171
ZTF18abvzdvj,58387.669,ZTF18abvzdvj_VLASS2.1,59092.0,VLASS2.1,0.405,0.141,704.3309999999983,SN II,0.051,upper_limit,2.6680195904573675e+28,5.537360147522802e+27,1.9296739726027352
ZTF18abvzdvj,58387.669,ZTF18abvzdvj_VLASS3.1,60022.0,VLASS3.1,0.397,0.133,1634.3309999999983,SN II,0.051,upper_limit,2.615317968917469e+28,1.1466773424699057e+28,4.477619178082187
ZTF18abwcooy,58372.499,ZTF18abwcooy_VLASS2.1,59062.0,VLASS2.1,0.304,0.155,689.5009999999966,SN II,0.05,upper_limit,1.9221589122843176e+28,5.440508346642653e+27,1.889043835616429
ZTF18abwcooy,58372.499,ZTF18abwcooy_VLASS3.1,59979.0,VLASS3.1,0.198,0.087,1606.5009999999966,SN II,0.05,upper_limit,1.2519324494483383e+28,1.1224905740609318e+28,4.401372602739716
ZTF18abwlsoi,58372.579,ZTF18abwlsoi_VLASS2.1,59104.0,VLASS2.1,0.317,0.123,731.4210000000021,SN II,0.05,upper_limit,2.004356497349107e+28,5.709329563341113e+27,2.003893150684937
ZTF18abwlsoi,58372.579,ZTF18abwlsoi_VLASS3.1,59998.0,VLASS3.1,0.391,0.123,1625.421000000002,SN II,0.05,upper_limit,2.472250443102527e+28,1.1381569997849244e+28,4.453208219178088
ZTF18abxbhov,58379.839,ZTF18abxbhov_VLASS1.2v2,58619.0,VLASS1.2v,0.312,0.117,239.1610000000001,SN IIn,0.0659,upper_limit,3.5044546379011667e+28,1.252689705076283e+27,0.6552356164383564
ZTF18abxbhov,58379.839,ZTF18abxbhov_VLASS2.2,59504.0,VLASS2.2,0.28,0.115,1124.161,SN IIn,0.0659,upper_limit,3.145023392988227e+28,6.686559968197251e+27,3.079893150684932
